society,price,area,open_sides,possession,locality,nearby_count,school_count,hospital_count,bank_count,metro_count,corner_property,park_facing,freehold,rental_income,ready_to_move,transport_count,environment,lifestyle,connectivity,safety,overall_rating,description_length,contains_corner,contains_freehold,contains_park,contains_north
independent,0.6000000000000001,807.2925,1.0,Immediate,Ram Vihar,49,1,31,5,0,0,0,0,0,1,4,4.0,4.0,4.5,4.0,4.25,59.0,0,0,0,0
independent,3.75,435604.2691,2.0,Within_6_months,Sohna Road,47,3,15,5,0,0,0,1,0,0,0,4.0,4.0,4.5,4.0,4.25,174.0,0,1,0,0
independent,2.55,2249.6551,1.0,Immediate,New Palam Vihar,32,3,11,1,1,0,0,1,0,1,5,4.0,4.0,4.0,4.0,4.0,159.0,0,1,0,0
independent,2.445,1130.2095,1.0,undefined,Sector 93 Gurgaon,8,0,0,0,0,0,0,1,0,0,1,4.0,4.0,4.5,4.0,4.25,395.0,0,1,0,0
independent,15.39,4101.0459,1.0,Immediate,Park Drive,45,4,11,6,0,0,1,0,0,1,0,5.0,4.0,5.0,5.0,4.75,41.0,0,0,1,0
independent,2.1,538.1949999999999,1.0,Immediate,Cyber City,42,0,13,11,5,0,0,0,0,1,5,5.0,5.0,5.0,5.0,5.0,39.0,0,0,0,0
independent,6.562815789473683,3153.8227,1.0,undefined,Sector 70A Gurgaon,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,4.0,4.0,4.25,66.0,0,0,0,0
independent,6.562815789473683,86.1112,1.0,undefined,Rajiv Nagar,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,5.0,4.0,4.0,76.0,0,0,0,0
independent,0.5700000000000001,538.1949999999999,1.0,Immediate,Heera Nagar,50,0,41,0,0,0,0,1,0,1,1,4.0,4.0,4.5,4.0,4.25,150.0,0,1,0,0
independent,0.1275,904.1676,2.0,undefined,Sohna,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,176.0,0,0,0,0
independent,0.705,904.1676,1.0,undefined,Rajendra Park Block C,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,69.0,0,0,1,0
independent,5.1,1743.7518,1.0,undefined,282p Hsvp Plot.,44,5,6,9,0,0,0,0,0,0,2,4.0,5.0,5.0,4.0,4.5,56.0,0,0,0,0
independent,6.562815789473683,1539.2377,1.0,undefined,Surat Nagar,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,4.0,4.0,3.5,75.0,0,0,0,0
independent,6.562815789473683,344.4448,2.0,Immediate,Sector 52 Gurgaon,44,5,6,9,0,1,0,0,0,1,2,4.0,5.0,5.0,4.0,4.5,81.0,1,0,1,1
independent,51.0,13002.7912,1.0,Immediate,Dlf City Phase 2,0,0,0,0,0,0,0,0,0,1,0,5.0,5.0,5.0,5.0,5.0,64.0,0,0,0,0
independent,9.0,3358.3368,2.0,Immediate,Sector 57,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,40.0,0,0,0,0
lakhuwas,0.105,452.0838,4.0,Immediate,Sector-2 Sohna,0,0,0,0,0,0,0,1,0,1,0,4.0,4.0,4.5,4.0,4.25,415.0,0,1,0,0
Central Park Flower Valley,9.795,3670.4899,1.0,Immediate,Sector-33 Sohna,11,3,1,0,0,0,0,0,0,1,2,4.0,4.0,4.5,4.0,4.25,259.0,0,0,1,0
independent,2.25,538.1949999999999,1.0,Immediate,G 1017,46,5,7,14,3,0,0,0,0,1,5,4.0,4.0,4.5,4.0,4.25,119.0,0,0,0,0
independent,6.562815789473683,75.34729999999999,1.0,undefined,Its A Park Facing Plot Located At A Very Prime Location.,43,1,4,12,2,0,1,0,0,0,2,4.0,4.0,4.5,4.0,4.25,69.0,0,0,1,0
independent,4.65,904.1676,1.0,Immediate,Sector 43 Gurgaon,46,1,5,9,3,0,0,1,0,1,3,4.0,4.0,5.0,4.0,4.25,174.0,0,1,0,0
independent,12.75,8998.6204,1.0,Immediate,Dwarka Expressway Gurgaon,7,0,4,0,0,0,0,0,0,1,1,4.0,4.0,4.5,4.0,4.25,201.0,0,0,0,0
independent,0.345,452.0838,1.0,Immediate,Rajendra Park,31,1,15,4,0,0,0,1,0,1,3,4.0,4.0,4.0,4.0,4.0,326.0,0,1,1,0
independent,2.85,764.2369,3.0,Immediate,Sector 42 Gurgaon,44,2,3,13,2,0,0,0,1,1,3,4.0,4.0,4.5,4.0,4.25,70.0,0,0,1,0
independent,1.125,1571.5294,1.0,Immediate,Sohna Road,47,3,15,5,0,0,0,1,0,1,0,4.0,4.0,4.5,4.0,4.25,150.0,0,1,0,0
independent,2.85,904.1676,1.0,Immediate,Sector 40 Gurgaon,48,6,6,13,1,0,0,0,0,1,1,4.0,4.0,4.0,4.0,4.0,85.0,0,0,1,0
Huda Flats,3.9,1453.1265,4.0,Immediate,Sector 23A Gurgaon,27,4,4,3,1,1,1,0,0,1,2,5.0,4.0,4.0,5.0,4.5,44.0,1,0,1,0
Shree Vardhman Softlaunch,1.5750000000000002,1108.6817,2.0,undefined,Sohna,0,0,0,0,0,0,1,0,0,0,0,4.0,4.0,5.0,4.0,4.25,62.0,0,0,1,0
independent,1.32,1614.585,3.0,Immediate,Farukhnagar,14,0,13,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,95.0,0,0,0,0
independent,90.0,261358.2559,1.0,Immediate,Pataudi,20,0,15,0,0,0,0,0,0,1,0,4.0,5.0,4.0,5.0,4.5,118.0,0,0,0,0
independent,4.875,1937.502,1.0,Immediate,Shivaji Nagar,49,3,28,3,0,0,0,0,0,1,1,4.0,4.0,5.0,4.0,4.25,65.0,0,0,0,0
independent,0.81,764.2369,1.0,undefined,Laxman Vihar,49,2,27,5,0,0,0,0,0,0,4,4.0,4.0,5.0,4.0,4.25,203.0,0,0,0,0
independent,2.1,1259.3763,1.0,undefined,Sohna Sector 35,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,71.0,0,0,0,0
independent,11.25,8998.6204,1.0,undefined,New Palam Vihar,18,2,3,1,1,0,0,0,0,0,2,4.0,4.0,4.0,4.0,4.0,176.0,0,0,0,0
independent,4.875,1453.1265,1.0,undefined,Sector 42,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,65.0,0,0,0,0
independent,5.1,2421.8775,1.0,undefined,Sector 92,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,4.0,3.0,4.0,65.0,0,0,0,0
independent,0.6900000000000001,688.8896,1.0,undefined,Sohna Road,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,66.0,0,0,0,0
independent,4.5,1463.8904,1.0,undefined,Sector 42,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,65.0,0,0,0,0
independent,4.875,1453.1265,1.0,undefined,Sector 42,43,1,4,12,2,0,0,0,0,0,2,4.0,4.0,4.5,4.0,4.25,150.0,0,0,0,0
independent,8.25,3315.2812,1.0,undefined,Sector 23,0,0,0,0,0,0,0,0,0,0,0,4.0,5.0,5.0,4.0,4.5,65.0,0,0,0,0
independent,2.73,1259.3763,1.0,undefined,Sector 102,0,0,0,0,0,0,0,0,0,0,0,4.0,5.0,4.0,4.0,4.25,66.0,0,0,0,0
independent,0.8999999999999999,904.1676,1.0,undefined,Sector 69,43,0,12,11,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,65.0,0,0,0,0
independent,16.185,4520.838,1.0,Immediate,Sector 15 Part 2,50,5,10,18,0,0,0,0,0,1,0,4.5,4.0,5.0,5.0,4.625,167.0,0,0,0,0
independent,0.342,538.1949999999999,1.0,undefined,Sohna Sector 17,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,158.0,0,0,0,0
independent,0.4349999999999999,721.1813,1.0,undefined,Om Vihar,48,5,11,12,1,0,0,0,0,0,2,4.0,3.5,4.0,4.0,3.875,64.0,0,0,0,0
independent,24.0,4682.2965,1.0,Immediate,Sector 42,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.5,4.0,4.25,160.0,0,0,0,0
independent,6.0,1593.0572,1.0,undefined,Mayfield Garden,0,0,0,0,0,0,0,0,0,0,0,4.5,4.0,4.5,4.0,4.25,71.0,0,0,0,0
independent,1.995,538.1949999999999,1.0,Immediate,Sector 42 Gurgaon,43,4,2,13,2,0,0,0,0,1,2,4.0,4.0,4.5,4.0,4.25,281.0,0,0,0,0
independent,0.975,1625.3489,1.0,Immediate,Unknown,0,0,0,0,0,0,0,0,0,1,0,4.0,3.0,4.0,3.0,3.5,63.0,0,0,0,0
independent,2.97,182.9863,1.0,Immediate,Sector 99a,0,0,0,0,0,0,0,0,0,1,0,4.0,3.0,3.0,3.0,3.25,100.0,0,0,0,0
independent,0.6000000000000001,3562.8509,1.0,Immediate,Bhora Kalan,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.5,4.0,4.25,79.0,0,0,0,0
Ashray Apartment,0.045,64.5834,1.0,Immediate,Carterpuri Village,43,5,9,11,1,0,0,0,0,1,2,4.0,4.0,4.5,4.0,4.25,31.0,0,0,0,0
independent,0.0555,538.1949999999999,1.0,Immediate,hilalpur,0,0,0,0,0,0,0,1,0,1,0,4.0,4.0,4.5,4.0,4.25,346.0,0,1,0,0
Central Park Flower Valley Mikasa Plots,6.015,2185.0717,1.0,Immediate,I-112,7,1,1,0,1,0,0,0,0,1,2,4.0,4.0,4.5,4.0,4.25,133.0,0,0,1,0
