property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,noOfFloor,facing,agePossession,area,has_builtup_area,locality,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_plot,park_facing,freehold,newly_renovated,rental_income,fully_furnished
house,independent,3.825,24507,3,3,2,2,South,Old Property,1561.0,0,Palam Vihar,0,0,0,0,0,0,5,5.0,5.0,5.0,4.0,4.75,27,2,2,3,1,0,0,0,0,0,0,0
house,independent,25.5,56675,5,8,3+,3,North-East,Relatively New,4499.0,0,Greenwood City,1,1,1,1,0,1,67,4.0,4.0,5.0,4.0,4.25,48,5,4,10,1,0,0,0,0,0,0,0
house,experion windchants3.8 â˜…,11.985,18776,4,6,3,2,South-East,New Property,6383.0,1,Sector 112 Gurgaon,0,1,1,1,0,2,62,5.0,4.0,4.0,3.0,4.0,8,1,2,0,0,0,0,0,0,0,0,0
house,uppal southend4.0 â˜…,5.625,38425,6,6,3,3,East,Moderately Old,1464.0,0,Uppals Southend,0,0,0,0,1,0,33,5.0,5.0,5.0,5.0,5.0,46,0,5,9,0,0,0,0,0,0,0,0
house,vipul tatvam villa,10.875,41922,3,4,2,2,South,Moderately Old,2594.0,0,Sector 48 Gurgaon,1,1,1,1,0,2,70,4.0,4.0,5.0,4.0,4.25,15,3,0,3,0,1,0,0,1,0,0,0
house,vipul tatvam villa,12.6,31467,4,5,3+,2,North,Moderately Old,4004.0,0,Sector 48 Gurgaon,1,1,0,1,0,2,33,4.0,4.0,5.0,4.0,4.25,15,3,0,3,0,1,0,0,1,0,0,0
house,independent,5.324999999999999,36645,4,4,3+,2,Na,Old Property,1453.0,0,Sector 55 Gurgaon,0,0,0,0,0,2,8,4.0,4.0,5.0,4.0,4.25,42,1,5,13,3,0,0,0,0,0,0,0
house,dlf new town heights3.7 â˜…,3.75,11025,4,4,3+,3,East,Moderately Old,3401.0,0,Sector 91 Gurgaon,1,1,1,1,0,2,39,4.0,4.0,3.0,4.0,3.75,8,2,1,0,1,0,0,0,0,0,0,0
house,dlf new town heights 24.0 â˜…,3.75,11025,4,4,3+,3,East,Moderately Old,3401.0,0,Sector 86 Gurgaon,1,1,1,1,0,2,66,5.0,5.0,4.0,4.0,4.5,15,2,2,4,0,0,0,0,0,0,0,0
house,puri diplomatic greens4.0 â˜…,13.5,16880,5,5,3+,3,North-East,Relatively New,7998.0,1,Sector 111 Gurgaon,0,1,0,0,0,0,57,4.0,4.0,5.0,4.0,4.25,10,1,1,0,2,0,0,0,0,0,0,0
house,independent,3.1500000000000004,34839,3,3,2,3,North,Moderately Old,904.0,0,Sector 40 Gurgaon,0,0,0,0,1,2,23,4.0,4.0,4.0,4.0,4.0,48,5,4,10,1,0,0,0,0,0,0,0
house,independent,6.75,27030,5,5,1,1,Na,Relatively New,2497.0,0,Sector 14 Gurgaon,0,0,0,0,0,0,0,4.0,5.0,5.0,4.0,4.5,50,3,11,12,0,0,0,0,0,0,0,0
house,independent,9.75,50323,5,4,3+,3,South-East,Moderately Old,1937.0,1,C Block Sushant Lok Phase 1,0,1,0,1,0,2,23,4.0,4.0,4.0,4.0,4.0,46,1,4,5,2,0,0,0,0,0,0,0
