property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,builtup_area_sqft,carpet_area_sqft,Super_Built_up_area,has_super_builtup,has_builtup_area,has_carpet_area,locality,study room,servant room,store room,pooja room,others,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_property,park_facing,freehold,rental_income,fully_furnished,newly_renovated
flat,umang monsoon breeze,0.75,6053.0,1239.0,2,2,1,5.0,East,1 to 5 Year Old,1239.0325289999998,1100.0,1262.4314767567475,0,1,1,Sector 78 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,7,0,0,1,1,0,0,0,0,0,0,0
flat,sare green parc phase 3,0.95,4856.0,1956.0,4,3,3,4.0,North,5 to 10 Year Old,1763.969244605561,1656.0500508807957,1956.015908,1,0,0,Sector 92 Gurgaon,0,0,0,0,0,10,5.0,5.0,5.0,5.0,5.0,11,1,0,0,1,1,0,0,0,0,0,0
flat,lavanya apartments,0.9,5056.0,1780.0,3,3,0,7.0,Unknown,1 to 5 Year Old,1780.026143,1514.49850045971,1770.4519488406577,0,1,0,Sector 81 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,16,0,0,0,0,0,0,0,0,0,0,0
flat,signature global orchard avenue3.6 â˜…,0.85,14237.0,597.0,2,2,0,10.0,Unknown,1 to 5 Year Old,596.9658939999999,563.0468859816172,659.5679960213125,0,1,0,Sector 93 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,8,2,0,0,0,0,0,0,0,0,0,0
flat,zara aavaas,0.22,7302.0,301.0,1,2,2,2.0,Unknown,0 to 1 Year Old,400.5573007732964,301.28156099999995,381.6122478940715,0,0,1,Sector 104 Gurgaon,0,0,0,0,0,11,5.0,5.0,5.0,5.0,5.0,10,1,1,0,0,0,0,0,0,0,0,0
flat,signature global the millennia,0.6,9230.0,650.0,2,2,3,7.0,Unknown,0 to 1 Year Old,688.068339079919,596.12,650.031921,1,0,1,Sector 37D Gurgaon,0,0,0,0,0,7,5.0,5.0,5.0,5.0,5.0,15,0,2,0,0,0,0,0,0,0,0,0
flat,zara aavaas,0.2,6644.0,301.0,1,2,2,3.0,Unknown,0 to 1 Year Old,400.5573007732964,300.958644,381.6122478940715,0,0,1,Surat Nagar 1,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,10,1,1,0,0,0,0,0,0,0,0,0
flat,smart world gems,0.86,7796.0,1103.0,2,3,2,4.0,North-East,Under Construction,1061.2560191741886,1102.976833,1134.7220789685557,0,0,1,Sector 89 Gurgaon,1,1,0,1,0,13,5.0,5.0,5.0,5.0,5.0,14,1,1,0,1,0,0,1,0,0,0,0
flat,apartment,0.75,4687.0,1600.0,3,4,3,2.0,East,5 to 10 Year Old,1470.6915092555391,1599.946096,1601.4248047092274,0,0,1,Sector 92 Gurgaon,1,0,0,0,0,20,5.0,5.0,5.0,5.0,5.0,8,0,0,0,0,0,0,0,0,0,0,0
flat,shapoorji pallonji joyville gurugram,0.95,10383.0,915.0,2,2,2,14.0,North-West,1 to 5 Year Old,915.039139,858.0,958.1826173201728,0,1,1,Sector 102 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
