Feature,Importance
cat__locality_115',0.0
cat__locality_116,0.0
cat__locality_Sector 26 Gurgaon,0.0
cat__locality_1165,0.0
cat__locality_Sector 27.Gurgaon,0.0
cat__locality_Sector 28,0.0
cat__locality_Sector 3 Gurgaon,0.0
cat__locality_Sector 30 Gurgaon,0.0
cat__locality_Sector 33 Gurgaon,0.0
cat__locality_Sector 34 Gurgaon,0.0
cat__locality_Sector 35 Sohna,0.0
cat__locality_Sector 36 Sohna,0.0
cat__locality_Sector 36a,0.0
cat__locality_Sector 37C Gurgaon,0.0
cat__locality_Sector 37D Gurgaon,0.0
cat__locality_1165gp,0.0
cat__locality_Sector 39 Gurgaon,0.0
cat__locality_Sector 4 Gurgaon,0.0
cat__locality_117,0.0
cat__locality_12 Meter Road,0.0
cat__locality_121,0.0
cat__locality_122001,0.0
cat__locality_123,0.0
cat__locality_123123,0.0
cat__locality_1233,0.0
cat__locality_123423,0.0
cat__locality_123456,0.0
cat__locality_Sector 5 Gurgaon,0.0
cat__locality_Sector 50,0.0
cat__locality_124,0.0
cat__locality_12456,0.0
cat__locality_12457,0.0
cat__locality_Sector 54 Gurgaon,0.0
cat__locality_Sector 55 Gurgaon,0.0
cat__locality_128,0.0
cat__locality_Sector 57,0.0
cat__locality_132,0.0
cat__locality_13457,0.0
cat__locality_Sector 62 Gurgaon,0.0
cat__locality_135678,0.0
cat__locality_1358,0.0
cat__locality_141,0.0
cat__locality_1441,0.0
cat__locality_1494 Ap Sector 15 Part 2,0.0
cat__locality_155,0.0
cat__locality_Sector 67a,0.0
cat__locality_Sector 68 Gurgaon,0.0
cat__locality_Sector 69,0.0
cat__locality_Sector 69 Gurgaon,0.0
cat__locality_Sector 7 Extension,0.0
cat__locality_156,0.0
cat__locality_Sector 70 Gurgaon,0.0
cat__locality_157,0.0
cat__locality_Sector 70a,0.0
cat__locality_Sector 72a,0.0
cat__locality_15a,0.0
cat__locality_160 Sq Yd Plot Asking Rate Is 1.85 Psy,0.0
cat__locality_Sector 79 Gurgaon,0.0
cat__locality_Sector 81 Gurgaon,0.0
cat__locality_Sector 82,0.0
cat__locality_Sector 82 Gurgaon,0.0
cat__locality_16100000,0.0
cat__locality_17,0.0
cat__locality_1700,0.0
cat__locality_1718,0.0
cat__locality_175,0.0
cat__locality_Sector 89,0.0
cat__locality_179/9,0.0
cat__locality_18 Mtr Road West Facing,0.0
cat__locality_180sqyd,0.0
cat__locality_1858,0.0
cat__locality_1st,0.0
cat__locality_200,0.0
cat__locality_200 Yards Corner,0.0
cat__locality_2000yards,0.0
cat__locality_204,0.0
cat__locality_205,0.0
cat__locality_Sector 99a,0.0
cat__locality_2204,0.0
cat__locality_Sector Road,0.0
cat__locality_Sector-11 sohna,0.0
cat__locality_Sector-2,0.0
cat__locality_2233,0.0
cat__locality_Sector-22 Sohna,0.0
cat__locality_22356,0.0
cat__locality_231,0.0
cat__locality_Sector-4 Sohna,0.0
cat__locality_231c,0.0
cat__locality_Shiv Colony,0.0
cat__locality_Shivaji Nagar,0.0
cat__locality_Shivpuri,0.0
cat__locality_Sidhrawali,0.0
cat__locality_Silani,0.0
cat__locality_232,0.0
cat__locality_Sohna Gurgaon Road,0.0
cat__locality_234,0.0
cat__locality_Sohna Road Badshapur,0.0
cat__locality_Sohna Sector 11,0.0
cat__locality_Sohna Sector 14,0.0
cat__locality_Sohna Sector 17,0.0
cat__locality_23466,0.0
cat__locality_235668,0.0
cat__locality_South Of Gurgoan,0.0
cat__locality_24 Meter Road,0.0
cat__locality_240 Sqyd,0.0
cat__locality_Subhash Nagar,0.0
cat__locality_240sqyd,0.0
cat__locality_Suncity,0.0
cat__locality_Surat Nagar,0.0
cat__locality_Susant Lok1,0.0
cat__locality_Sushant Lok,0.0
cat__locality_24854,0.0
cat__locality_25 No.,0.0
cat__locality_Sushant Lok Phase 2,0.0
cat__locality_250 North Facing,0.0
cat__locality_T Block,0.0
cat__locality_T157-D/1,0.0
cat__locality_Topaz Block,0.0
cat__locality_True Habitat,0.0
cat__locality_2504,0.0
cat__locality_Upcoming Plot On Dwarka Expressway,0.0
cat__locality_255,0.0
cat__locality_V And T Block,0.0
cat__locality_V-Block,0.0
cat__locality_263sqyd,0.0
cat__locality_Vatika,0.0
cat__locality_266 Sqyd,0.0
cat__locality_267 Sq Yds North Facing Plot,0.0
cat__locality_W Block,0.0
cat__locality_West Facing,0.0
cat__locality_Xxx,0.0
cat__locality_267 Sq Yds Plot In A Block Registry Case,0.0
cat__locality_dlf alameda,0.0
cat__locality_273,0.0
cat__locality_huda sector 42 Gurgaon,0.0
cat__locality_sector 7 Sohna,0.0
cat__locality_vatika farms westin resort sohna,0.0
cat__locality_275,0.0
cat__locality_282p Hsvp Plot.,0.0
cat__locality_30m Road,0.0
cat__locality_32,0.0
cat__locality_3300,0.0
cat__locality_021,0.0
